0,-0.021434
0.001,-0.011645
0.002,-0.029067
0.003,-0.0086378
0.004,-0.021054
0.005,-0.013142
0.006,-0.0063254
0.007,-0.016707
0.008,0.0049735
0.009,-0.0080682
0.01,-0.003129
0.011,0.0085375
0.012,-0.0024702
0.013,0.020462
0.014,0.0088286
0.015,0.020182
0.016,0.022149
0.017,0.0086378
0.018,0.022965
0.019,0.0066383
0.02,0.0097
0.021,0.011197
0.022,-0.014986
0.023,-0.00081525
0.024,-0.020428
0.025,-0.013924
0.026,-0.01274
0.027,-0.030319
0.028,-0.016304
0.029,-0.032162
0.03,-0.028944
0.031,-0.021345
0.032,-0.038454
0.033,-0.018651
0.034,-0.037325
0.035,-0.030195
0.036,-0.021814
0.037,-0.037985
0.038,-0.013801
0.039,-0.026842
0.04,-0.020808
0.041,-0.011958
0.042,-0.019523
0.043,-0.00081525
0.044,-0.014326
0.045,-0.0068839
0.046,0.00040204
0.047,-0.016707
0.048,0.0046606
0.049,-0.014796
0.05,-0.0082919
0.051,-0.0024141
0.052,-0.014361
0.053,0.00074927
0.054,-0.013075
0.055,-0.0039113
0.056,0.0049391
0.057,-0.010606
0.058,0.010136
0.059,-0.0055649
0.06,0.0026597
0.061,0.0055649
0.062,-0.0068509
0.063,0.013265
0.064,0.00084957
0.065,0.0034419
0.066,0.0071295
0.067,-0.0093541
0.068,0.0099799
0.069,-0.0049391
0.07,0.0018774
0.071,0.010571
0.072,-0.006538
0.073,0.010293
0.074,-0.0061908
0.075,0.00093871
0.076,0.0047827
0.077,-0.014204
0.078,0.0024702
0.079,-0.0063472
0.08,-0.0029726
0.081,0.0032182
0.082,-0.011857
0.083,0.009667
0.084,-0.0083811
0.085,-0.0075097
0.086,-0.0036657
0.087,-0.02187
0.088,-0.0044136
0.089,-0.016673
0.09,-0.010952
0.091,-0.0046044
0.092,-0.018898
0.093,0.0010622
0.094,-0.0137
0.095,-0.0035984
0.096,0.0032182
0.097,-0.013109
0.098,0.0091977
0.099,-0.0094762
0.1,-0.0056323
0.101,-0.00022376
